EXPANSION	LABEL_NUMBER
active avoidance	0
acupuncture analgesia	1
acute appendicitis	2
adjuvant arthritic	3
adjuvant arthritis	4
adjuvantinduced arthritic	5
adrenal androgen	6
adrenal autoantibodies	7
afferent arteriolar	8
aggregative adherence	9
alcohol abuse	10
alcoholpreferring	11
allergic asthma	12
allyl alcohol	13
alopecia areata	14
ambient air	15
aminoacid	16
amyloid angiopathy	17
amyloid protein	18
androgen ablation	19
aplastic anaemia	20
aplastic anemia	21
arachidonate	22
arachidonic	23
arachidonic acid	24
aromatase activity	25
ascaris antigen	26
atomic absorption	27
atopic asthmatic	28
normal haemoglobin	29
rats with adjuvantinduced arthritis	30
secondary	31
secondary amyloidosis	32
aberrant crypts	33
acebutolol	34
acetone	35
acid ceramidase	36
acromioclavicular	37
activated carbon	38
activated charcoal	39
activation coefficient	40
activity coefficient	41
acute cholecystitis	42
adherent cells	43
aesthetic component	44
affinity chromatography	45
air conduction	46
allergic conjunctivitis	47
allyl chloride	48
alternating	49
amniocentesis	50
amygdaloid complex	51
anchor cell	52
anterior chamber	53
anterior commissure	54
anticoagulant	55
anticoagulation	56
aortic constriction	57
apatite cement	58
arachnoid cysts	59
arm circumference	60
arterial compliance	61
articular cartilage	62
artificial circulation	63
asbestos cement	64
attenuation correction	65
attenuationcorrected	66
atypical carcinoid	67
axillary clearance	68
doxorubicin and cyclophosphamide	69
patients had alcoholic cirrhosis	70
acute diarrhea	71
adult	72
adultdirected	73
affective disorders	74
afterdischarge	75
alcohol dependence	76
alzheimers disease patients	77
alzheimertype dementia	78
androgen deprivation	79
anoxic depolarization	80
anterodorsal	81
anterodorsal thalamic nucleus	82
aortic diameter	83
aortic dissection	84
apparent digestibility	85
arrhythmogenic dose	86
atherogenic diet	87
atopic dermatitis	88
atypical depression	89
autoimmune diseases	90
autonomic dysfunction	91
autonomic dysreflexia	92
autosomal dominant	93
axillary dissection	94
dementia of the alzheimer type	95
absence epilepsy	96
absolute error	97
acoustic emission	98
acridinium ester	99
acrodermatitis enteropathica	100
acute exacerbation	101
aerobic exercise	102
aldrin epoxidase	103
allylestrenol	104
alveolar echinococcosis	105
anion exchange	106
aqueous extract	107
assimilation efficiency	108
atopic eczema	109
avian encephalomyelitis	110
abdominal hysterectomy	111
abductor hallucis	112
absolute humidity	113
absorptive hypercalciuria	114
adenoid hypertrophy	115
adenomatous hyperplasia	116
adult height	117
alcoholic hepatitis	118
alveolar hemorrhage	119
ancestral haplotype	120
aniline hydrochloride	121
anterior horn	122
anterior hypothalamic	123
aqueous humour	124
artificial heart	125
assisted hatching	126
ataxic hemiparesis	127
atriohis	128
atypical hyperplasia	129
autonomic hyperreflexia	130
paf acetylhydrolase	131
patients with acute hepatitis	132
rat ascites hepatoma	133
acute ileus	134
adequate intake	135
adrenal incidentalomas	136
adrenal insufficiency	137
amelogenesis imperfecta	138
anchorageindependent	139
aortic incompetence	140
aortic insufficiency	141
apoptotic	142
apoptotic index	143
artificial intelligence	144
artificially inseminated	145
associationinduction	146
astragalus injection	147
primary auditory area	148
primary auditory field	149
acute leukaemia	150
ad lib	151
ad libitum	152
adductor longus	153
amyotrophic leukospongiosis	154
annulate lamellae	155
antennal lobe	156
anterior lobe	157
anterolateral	158
argon laser	159
assisted living	160
attachment levels	161
atypical lymphocytes	162
axial length	163
lateral nucleus of amygdala	164
ligament	165
light chain amyloidosis	166
patients with primary amyloidosis	167
primary systemic amyloidosis	168
acetoxymethyl	169
acetoxymethyl ester	170
actomyosin	171
adrenal medulla	172
alternative medicine	173
alveolar	174
ambulatory monitoring	175
amniotic membrane	176
amplitude modulated	177
amplitude modulation	178
amygdaloid	179
anteromedial	180
anteromedial nucleus	181
apparent motion	182
arbuscular mycorrhiza	183
arbuscular mycorrhizal	184
arithmetic mean	185
artemether	186
aseptic meningitis	187
astragalus membranaceus	188
autobiographical memory	189
sinusoidally amplitudemodulated	190
acridine orange	191
active oxygen	192
adaptive optics	193
adultonset	194
adverse outcome	195
age of onset	196
airway obstruction	197
albino oxford	198
aldehyde oxidase	199
antisense oligonucleotide	200
aortic output	201
aqueous oxygen	202
arterial occlusion	203
abasic	204
absolute pitch	205
absolute power	206
accelerated phase	207
accessory processes	208
accumulation of caminopyrine	209
actinic prurigo	210
activation peptide	211
acupuncture	212
acute pancreatitis	213
acute pneumonia	214
adaptor protein	215
adductor pollicis	216
adult periodontitis	217
aerosolized pentamidine	218
alpha antiplasmin	219
alternative pathway	220
alveolar permeability	221
ammonium perchlorate	222
amyloid p	223
anaphylactoid purpura	224
angina pectoris	225
annular pancreas	226
anterior pagoda	227
anterior to posterior	228
anteriorposterior	229
antigen presentation	230
antiplasmin	231
antipsychotic	232
antipyrine	233
apatite	234
apomorphine	235
apurinic	236
area postrema	237
artificial perilymph	238
ascorbyl palmitate	239
asthmatic patients	240
autologous plasma	241
available p	242
available phosphorus	243
average power	244
access recirculation	245
acid resistance	246
acoustic reflex	247
acoustic rhinometry	248
acrosomereacted	249
active recovery	250
active renin	251
acute allograft rejection	252
acute rejection	253
adaptive response	254
adrenoceptor	255
airway reactivity	256
airway responsiveness	257
allergic rhinitis	258
amphiregulin	259
anaphylactoid reactions	260
androgen receptor gene	261
anhydroretinol	262
anterior resection	263
antigen retrieval	264
aortic regurgitation	265
apoptotic rate	266
applied relaxation	267
artificially reared	268
aspect ratio	269
atrophic rhinitis	270
attributable risk	271
augmented reality	272
autoregressive	273
autoregulation	274
autosomal recessive	275
absence seizures	276
acetosyringone	277
active	278
actual survival	279
actuarial survival	280
affective style	281
aggregation substance	282
alkaline secretion	283
alphasynuclein	284
alport syndrome	285
alternative splicing	286
ammonium sulfate	287
ammonium sulphate	288
anabolic steroids	289
anaphylactic shock	290
androgen suppression	291
angelis salt	292
angiosarcoma	293
ankylosing spondylarthritis	294
antisaccades	295
antisense	296
antiserum	297
anxiety sensitivity	298
argininosuccinate synthase	299
arteriosclerosis	300
artificial saliva	301
asparagine synthetase	302
assisted suicide	303
atherosclerotic	304
autologous serum	305
plasmodium chabaudi chabaudi	306
sickle trait	307
stress	308
acceleration time	309
acetyltransferase	310
achilles tendon	311
activation time	312
active tension	313
adeninethymine	314
adipose tissue	315
alopecia totalis	316
ambient temperature	317
anterior tibialis	318
antithrombin	319
area tempestas	320
assistive technology	321
atrial tachycardia	322
autogenic training	323
catalase inhibitor aminotriazole	324
bacillary angiomatosis	325
background activity	326
basilar	327
benzaldehyde	328
benzamide	329
benzoic acid	330
benzyl alcohol	331
biliary atresia	332
bioavailability	333
biogenic amines	334
blood agar	335
bone age	336
brachial artery	337
bronchial asthma	338
butyl acrylate	339
butyric acid	340
lymphoma cell bioassay	341
mgl benzylaminopurine	342
nbenzyladenine	343
nbutyl acrylate	344
bacitracin	345
bacterial cellulose	346
basaloid carcinoma	347
basic copy	348
bile canaliculi	349
biliary complications	350
biochemical control	351
biotin carboxylase	352
biventer cervicis	353
black carbon	354
bladder capacity	355
blast crisis	356
blastic crisis	357
body composition	358
body condition	359
brachium conjunctivum	360
bronchoconstriction	361
bronchogenic cyst	362
bulbocavernosus	363
basal diet	364
base deficit	365
behcets disease	366
bicarbonate dialysis	367
biotinylated dextran	368
bladder drainage	369
body dissatisfaction	370
bone density	371
bony defect	372
brain death	373
brownian dynamics	374
bacterial levan	375
basal lamina	376
bilateral	377
blood loss	378
blood lymphocytes	379
blue light	380
body length	381
bone loss	382
borderline	383
borderline lepromatous	384
borderline lepromatous leprosy	385
brassinolide	386
bright light	387
bronchial lavage	388
bacterial meningitis	389
barretts metaplasia	390
basal medium	391
biological monitoring	392
blood meal	393
bone metastases	394
bone metastasis	395
brain metastases	396
breast milk	397
bronchial mucosa	398
buccal mucosa	399
backpropagation	400
bacterial pneumonia	401
basilar papilla	402
beet pulp	403
bells palsy	404
bench press	405
benzapyrene	406
benzoapyrene	407
benzophenone	408
bereitschaftspotential	409
binding potential	410
biphenyl	411
bipolar	412
blastic phase	413
blood plasma	414
bodily pain	415
bovine pericardium	416
bowenoid papulosis	417
brachial plexus	418
brevipedicellus	419
british pharmacopoeia	420
bullous pemphigoid	421
hbenzoapyrene	422
metabolism of benzoapyrene	423
myelin basic protein	424
systolic and diastolic blood pressures	425
total biopterin	426
balbiani ring	427
base rate	428
basic region	429
bed rest	430
benzamide riboside	431
biochemical response	432
blink rate	433
blink reflex	434
bone resorption	435
brassinosteroid	436
breathing rate	437
bronchial reactivity	438
bjorkshiley	439
black smoke	440
blasticidin s	441
blood serum	442
blood sugar	443
body surface	444
bone scan	445
bone scintigraphy	446
borg scale	447
brain stem	448
brainstem	449
bronchial secretions	450
bulbospongiosus	451
bundle sheath	452
bursting strength	453
bacterial translocation	454
beef tallow	455
behavior therapy	456
benzenetriol	457
bioavailable testosterone	458
blast transformation	459
blastic transformation	460
bleeding time	461
borderline tuberculoid	462
borderline tuberculoid leprosy	463
bovine trypsin	464
bovine turbinate	465
brain tumors	466
bretylium tosylate	467
modified blalocktaussig	468
abnormalities	469
assay	470
caffeic acid	471
cancer	472
cancer antigen	473
candida albicans	474
capsid	475
carbonate apatite	476
cardiac arrest	477
catecholaminergic	478
catheter ablation	479
caucasian american	480
cellular automata	481
cellular automaton	482
cellulose acetate	483
cerebellar atrophy	484
cerebral atrophy	485
