PREFERRED_AB	EXPANSION
AA	active avoidance
AA	acupuncture analgesia
AA	acute appendicitis
AA	adjuvant arthritic
AA	adjuvant arthritis
AA	adjuvantinduced arthritic
AA	adrenal androgen
AA	adrenal autoantibodies
AA	afferent arteriolar
AA	aggregative adherence
AA	alcohol abuse
AA	alcoholpreferring
AA	allergic asthma
AA	allyl alcohol
AA	alopecia areata
AA	ambient air
AA	aminoacid
AA	amyloid angiopathy
AA	amyloid protein
AA	androgen ablation
AA	aplastic anaemia
AA	aplastic anemia
AA	arachidonate
AA	arachidonic
AA	arachidonic acid
AA	aromatase activity
AA	ascaris antigen
AA	atomic absorption
AA	atopic asthmatic
AA	normal haemoglobin
AA	rats with adjuvantinduced arthritis
AA	secondary
AA	secondary amyloidosis
AC	aberrant crypts
AC	acebutolol
AC	acetone
AC	acid ceramidase
AC	acromioclavicular
AC	activated carbon
AC	activated charcoal
AC	activation coefficient
AC	activity coefficient
AC	acute cholecystitis
AC	adherent cells
AC	aesthetic component
AC	affinity chromatography
AC	air conduction
AC	allergic conjunctivitis
AC	allyl chloride
AC	alternating
AC	amniocentesis
AC	amygdaloid complex
AC	anchor cell
AC	anterior chamber
AC	anterior commissure
AC	anticoagulant
AC	anticoagulation
AC	aortic constriction
AC	apatite cement
AC	arachnoid cysts
AC	arm circumference
AC	arterial compliance
AC	articular cartilage
AC	artificial circulation
AC	asbestos cement
AC	attenuation correction
AC	attenuationcorrected
AC	atypical carcinoid
AC	axillary clearance
AC	doxorubicin and cyclophosphamide
AC	patients had alcoholic cirrhosis
AD	acute diarrhea
AD	adult
AD	adultdirected
AD	affective disorders
AD	afterdischarge
AD	alcohol dependence
AD	alzheimers disease patients
AD	alzheimertype dementia
AD	androgen deprivation
AD	anoxic depolarization
AD	anterodorsal
AD	anterodorsal thalamic nucleus
AD	aortic diameter
AD	aortic dissection
AD	apparent digestibility
AD	arrhythmogenic dose
AD	atherogenic diet
AD	atopic dermatitis
AD	atypical depression
AD	autoimmune diseases
AD	autonomic dysfunction
AD	autonomic dysreflexia
AD	autosomal dominant
AD	axillary dissection
AD	dementia of the alzheimer type
AE	absence epilepsy
AE	absolute error
AE	acoustic emission
AE	acridinium ester
AE	acrodermatitis enteropathica
AE	acute exacerbation
AE	aerobic exercise
AE	aldrin epoxidase
AE	allylestrenol
AE	alveolar echinococcosis
AE	anion exchange
AE	aqueous extract
AE	assimilation efficiency
